member_id,dcpp_init_year,year,lat,height,tas
r13i1p1f2,,1850,-89.375,1.5,
r13i1p1f2,,1850,-88.125,1.5,-0.34128568
r13i1p1f2,,1850,-86.875,1.5,-0.11477942
r13i1p1f2,,1850,-85.625,1.5,0.077651195
r13i1p1f2,,1850,-84.375,1.5,0.3036538
r13i1p1f2,,1850,-83.125,1.5,0.47228977
r13i1p1f2,,1850,-81.875,1.5,0.57546294
r13i1p1f2,,1850,-80.625,1.5,0.5251251
r13i1p1f2,,1850,-79.375,1.5,0.45047203
r13i1p1f2,,1850,-78.125,1.5,0.38285044
r13i1p1f2,,1850,-76.875,1.5,0.35240316
r13i1p1f2,,1850,-75.625,1.5,0.3950162
r13i1p1f2,,1850,-74.375,1.5,0.49685478
r13i1p1f2,,1850,-73.125,1.5,0.5652265
r13i1p1f2,,1850,-71.875,1.5,0.5629237
r13i1p1f2,,1850,-70.625,1.5,0.435636
r13i1p1f2,,1850,-69.375,1.5,0.3031253
r13i1p1f2,,1850,-68.125,1.5,0.106587745
r13i1p1f2,,1850,-66.875,1.5,-0.06983479
r13i1p1f2,,1850,-65.625,1.5,-0.22524506
r13i1p1f2,,1850,-64.375,1.5,-0.2617537
r13i1p1f2,,1850,-63.125,1.5,-0.23061262
r13i1p1f2,,1850,-61.875,1.5,-0.17887874
r13i1p1f2,,1850,-60.625,1.5,-0.16014038
r13i1p1f2,,1850,-59.375,1.5,-0.15327454
r13i1p1f2,,1850,-58.125,1.5,-0.14524855
r13i1p1f2,,1850,-56.875,1.5,-0.13640317
r13i1p1f2,,1850,-55.625,1.5,-0.11901928
r13i1p1f2,,1850,-54.375,1.5,-0.10585675
r13i1p1f2,,1850,-53.125,1.5,-0.09273085
r13i1p1f2,,1850,-51.875,1.5,-0.074715935
r13i1p1f2,,1850,-50.625,1.5,-0.054451857
r13i1p1f2,,1850,-49.375,1.5,-0.039862737
r13i1p1f2,,1850,-48.125,1.5,-0.03371578
r13i1p1f2,,1850,-46.875,1.5,-0.035188016
r13i1p1f2,,1850,-45.625,1.5,-0.040130336
r13i1p1f2,,1850,-44.375,1.5,-0.04761882
r13i1p1f2,,1850,-43.125,1.5,-0.05785482
r13i1p1f2,,1850,-41.875,1.5,-0.073393114
r13i1p1f2,,1850,-40.625,1.5,-0.08586144
r13i1p1f2,,1850,-39.375,1.5,-0.09258399
r13i1p1f2,,1850,-38.125,1.5,-0.09204028
r13i1p1f2,,1850,-36.875,1.5,-0.0915069
r13i1p1f2,,1850,-35.625,1.5,-0.09340942
r13i1p1f2,,1850,-34.375,1.5,-0.10276192
r13i1p1f2,,1850,-33.125,1.5,-0.113330595
r13i1p1f2,,1850,-31.875,1.5,-0.122452535
r13i1p1f2,,1850,-30.625,1.5,-0.1216619
r13i1p1f2,,1850,-29.375,1.5,-0.11335618
r13i1p1f2,,1850,-28.125,1.5,-0.09659639
r13i1p1f2,,1850,-26.875,1.5,-0.07584644
r13i1p1f2,,1850,-25.625,1.5,-0.05980966
r13i1p1f2,,1850,-24.375,1.5,-0.050753426
r13i1p1f2,,1850,-23.125,1.5,-0.050829466
r13i1p1f2,,1850,-21.875,1.5,-0.052911147
r13i1p1f2,,1850,-20.625,1.5,-0.051461726
r13i1p1f2,,1850,-19.375,1.5,-0.041692626
r13i1p1f2,,1850,-18.125,1.5,-0.029836027
r13i1p1f2,,1850,-16.875,1.5,-0.023463272
r13i1p1f2,,1850,-15.625,1.5,-0.028349012
r13i1p1f2,,1850,-14.375,1.5,-0.04149762
r13i1p1f2,,1850,-13.125,1.5,-0.057515513
r13i1p1f2,,1850,-11.875,1.5,-0.07239873
r13i1p1f2,,1850,-10.625,1.5,-0.089442454
r13i1p1f2,,1850,-9.375,1.5,-0.110376276
r13i1p1f2,,1850,-8.125,1.5,-0.13872786
r13i1p1f2,,1850,-6.875,1.5,-0.173536
r13i1p1f2,,1850,-5.625,1.5,-0.22021644
r13i1p1f2,,1850,-4.375,1.5,-0.27630034
r13i1p1f2,,1850,-3.125,1.5,-0.33247712
r13i1p1f2,,1850,-1.875,1.5,-0.3817514
r13i1p1f2,,1850,-0.625,1.5,-0.41339985
r13i1p1f2,,1850,0.625,1.5,-0.4120783
r13i1p1f2,,1850,1.875,1.5,-0.37707588
r13i1p1f2,,1850,3.125,1.5,-0.31970254
r13i1p1f2,,1850,4.375,1.5,-0.25855148
r13i1p1f2,,1850,5.625,1.5,-0.19206913
r13i1p1f2,,1850,6.875,1.5,-0.120221846
r13i1p1f2,,1850,8.125,1.5,-0.05333257
r13i1p1f2,,1850,9.375,1.5,-0.003368713
r13i1p1f2,,1850,10.625,1.5,0.033289455
r13i1p1f2,,1850,11.875,1.5,0.06377134
r13i1p1f2,,1850,13.125,1.5,0.08514575
r13i1p1f2,,1850,14.375,1.5,0.09207728
r13i1p1f2,,1850,15.625,1.5,0.08212217
r13i1p1f2,,1850,16.875,1.5,0.06747107
r13i1p1f2,,1850,18.125,1.5,0.053822484
r13i1p1f2,,1850,19.375,1.5,0.044886988
r13i1p1f2,,1850,20.625,1.5,0.036517926
r13i1p1f2,,1850,21.875,1.5,0.03283967
r13i1p1f2,,1850,23.125,1.5,0.034544393
r13i1p1f2,,1850,24.375,1.5,0.04223166
r13i1p1f2,,1850,25.625,1.5,0.05561252
r13i1p1f2,,1850,26.875,1.5,0.07106972
r13i1p1f2,,1850,28.125,1.5,0.09092805
r13i1p1f2,,1850,29.375,1.5,0.1067833
r13i1p1f2,,1850,30.625,1.5,0.110597126
r13i1p1f2,,1850,31.875,1.5,0.09717923
